,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.014613723754882813,0.0005939960479736328,0.2571428571428571,0.7751589789520825,0.001,,linear,"{'C': 0.001, 'kernel': 'linear'}",42,0.2,0.7090909090909091,0.3333333333333333,0.8181818181818182,0.14285714285714285,0.8035714285714286,0.35714285714285715,0.8035714285714286,0.25,0.7413793103448276,0.005206201731655035,0.0001092940100430984,0.08102237870082646,0.0423593086547179
1,0.07042050361633301,0.0006297111511230468,0.4,0.9001477832512315,0.01,,linear,"{'C': 0.01, 'kernel': 'linear'}",37,0.3333333333333333,0.9272727272727272,0.4666666666666667,0.8727272727272727,0.5,0.9107142857142857,0.2857142857142857,0.9107142857142857,0.4166666666666667,0.8793103448275862,0.019425272035838395,0.00028258081299103934,0.08102237870082646,0.02071302862560898
2,0.12859001159667968,0.0003718852996826172,0.34285714285714286,0.9963636363636365,0.1,,linear,"{'C': 0.1, 'kernel': 'linear'}",38,0.3333333333333333,1.0,0.4,0.9818181818181818,0.42857142857142855,1.0,0.2857142857142857,1.0,0.25,1.0,0.057215537160277705,6.312095747349867e-05,0.06572463686591554,0.007272727272727276
3,0.11955890655517579,0.0003395557403564453,0.34285714285714286,1.0,1,,linear,"{'C': 1, 'kernel': 'linear'}",38,0.3333333333333333,1.0,0.4,1.0,0.42857142857142855,1.0,0.2857142857142857,1.0,0.25,1.0,0.055991358345140955,5.831077038230667e-06,0.06572463686591554,0.0
4,0.11939630508422852,0.000342559814453125,0.34285714285714286,1.0,10,,linear,"{'C': 10, 'kernel': 'linear'}",38,0.3333333333333333,1.0,0.4,1.0,0.42857142857142855,1.0,0.2857142857142857,1.0,0.25,1.0,0.056142265709327684,6.125826588726702e-06,0.06572463686591554,0.0
5,0.12033615112304688,0.00034060478210449217,0.34285714285714286,1.0,100,,linear,"{'C': 100, 'kernel': 'linear'}",38,0.3333333333333333,1.0,0.4,1.0,0.42857142857142855,1.0,0.2857142857142857,1.0,0.25,1.0,0.05709078152266426,7.22152519899084e-06,0.06572463686591554,0.0
6,0.0015586376190185546,0.0003688335418701172,0.5285714285714286,0.5286430810568741,0.001,0.0001,rbf,"{'C': 0.001, 'gamma': 0.0001, 'kernel': 'rbf'}",1,0.5333333333333333,0.5272727272727272,0.5333333333333333,0.5272727272727272,0.5,0.5357142857142857,0.5,0.5357142857142857,0.5833333333333334,0.5172413793103449,2.862556364480613e-05,1.0088233598028481e-05,0.02916059217599023,0.006837520198409042
7,0.0015883922576904296,0.00037360191345214844,0.5285714285714286,0.5286430810568741,0.001,0.001,rbf,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf'}",1,0.5333333333333333,0.5272727272727272,0.5333333333333333,0.5272727272727272,0.5,0.5357142857142857,0.5,0.5357142857142857,0.5833333333333334,0.5172413793103449,6.464255382389523e-05,7.875756386590035e-06,0.02916059217599023,0.006837520198409042
8,0.0015748500823974609,0.00036821365356445315,0.5285714285714286,0.5286430810568741,0.001,0.01,rbf,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}",1,0.5333333333333333,0.5272727272727272,0.5333333333333333,0.5272727272727272,0.5,0.5357142857142857,0.5,0.5357142857142857,0.5833333333333334,0.5172413793103449,3.1026163713501446e-05,7.519224570107883e-06,0.02916059217599023,0.006837520198409042
9,0.0015688419342041015,0.00036110877990722654,0.5285714285714286,0.5286430810568741,0.001,0.1,rbf,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.5333333333333333,0.5272727272727272,0.5333333333333333,0.5272727272727272,0.5,0.5357142857142857,0.5,0.5357142857142857,0.5833333333333334,0.5172413793103449,1.6359337118101755e-05,4.58011957228112e-06,0.02916059217599023,0.006837520198409042
