./voice\tgtgtg\condition4\c00_00.wav,0 days,0 days 00:00:12,33.06441,0.35004768,23.155966,33.657516,40.269665,17.113699,243.38698,191.32643,489.69815,755.70135,0.24042308,1.2892293,0.057545595,0.09557923,0.37516147,0.31761587,7.8067656,6.30275,8.143838,8.500188,0.10210573,2.1445882,10.410087,1.086152,4.113555,2.7475135,-6.3745184,-1.7727145,-6.4816194,-1.5237466,0.14620659,1.1342198,2.1230266,0.631341,-4.521296,-0.96971244,-5.7042756,-5.672355,3.5063145,10.6848755,654.04834,0.4586802,1171.824,0.20522074,-176.43579,-0.35379022,1663.3091,0.19908282,975.2153,0.26635572,-170.01057,-0.39919785,2722.4263,0.12860018,847.8938,0.5085325,-169.68362,-0.39417937,-4.7264833,-2.4001675,15.133022,0.8930864,0.078275084,0.418167,-0.007765232,-1.9724371,0.39695033,0.93319094,10.627659,1.3849739,-2.7335072,-6.8482537,-10.714128,-1.7687435,-14.090812,-0.8443412,-6.676679,16.07831,0.029726386,-0.006848085,0.044959042,1.3344454,2.0955575,0.0684,0.060244836,0.4217391,0.66018873,-40.15089,-0.100000001,1,1
./voice\tgtgtg\condition4\c00_01.wav,0 days,0 days 00:00:12,34.130325,0.36770123,21.363178,34.263046,43.68627,22.323093,621.4966,1022.9651,278.31924,163.1829,0.19434075,1.613538,0.056542277,0.06886577,0.18738237,0.1308401,7.542074,4.880483,5.8757143,5.422313,0.10075877,2.7846375,16.937254,0.47996157,3.502153,3.405726,-3.7542164,-3.0257025,-5.349531,-1.5785227,0.11172195,0.9821819,2.339667,0.48932597,-1.3316499,-2.9833164,-4.6330857,-4.284735,5.594474,4.2223945,694.3845,0.37880185,1110.7637,0.26107892,-172.63026,-0.39518008,1709.8802,0.18893154,980.4515,0.40495357,-166.07565,-0.4367947,2797.576,0.12357361,912.7824,0.60086787,-166.76228,-0.42157018,-5.369756,-2.346873,19.839684,0.59138155,0.05299604,0.59363055,0.001188287,19.467266,0.40592974,1.3111686,15.73373,0.97958547,-6.9996057,-2.832655,-7.9848275,-2.5040421,-8.487223,-1.7151399,-10.329254,20.6851,0.027560666,-0.010214977,0.03560999,0.83402836,1.7602683,0.089999996,0.082346536,0.50315785,0.91441125,-38.090446,0.400000006,1,1
./voice\tgtgtg\condition4\c01.wav,0 days,0 days 00:00:12,29.798496,0.3301232,21.555698,29.302567,35.55768,14.00198,285.7721,217.70842,241.06985,179.75093,0.33400965,1.3230385,0.054304894,0.12899573,0.5804205,0.5261156,10.408559,7.976614,8.9068,10.557209,0.21453612,2.0216715,15.830866,0.613384,3.9939559,2.6493137,-0.89803845,-12.018002,-10.834685,-1.207258,0.12445188,1.2286228,2.2531927,0.5128108,-1.8762202,-1.974596,-0.14533092,-98.965385,12.991137,1.2345139,680.0626,0.41128573,1150.7576,0.26553226,-148.1975,-0.57951885,1701.2996,0.22038406,870.57556,0.38128656,-143.78813,-0.5939631,2811.4292,0.11906428,691.3975,0.44104767,-145.00081,-0.57465965,-7.8299174,-1.3815551,18.721434,0.59304786,0.07195397,0.50910825,-0.013147526,-1.3761011,0.57605296,1.0205609,16.60281,0.87807405,1.8019698,8.694414,0.5207229,31.55814,-17.80762,-1.03041,-9.183206,18.94994,0.033090528,-0.011200162,0.061233837,1.4178482,2.0955575,0.1288,0.10841844,0.3383333,0.52065396,-33.18824,-0.100000001,1,1
./voice\tgtgtg\condition4\c02.wav,0 days,0 days 00:00:13,34.507896,0.37555757,22.939133,31.827896,47.271282,24.33215,563.78217,750.13336,192.62497,137.10814,0.4658158,1.2483742,0.07739776,0.17095108,0.80818605,0.7307883,14.50583,10.102178,10.8669815,8.707892,0.31603688,1.9223089,14.571904,0.8794992,2.941326,4.0788007,-0.3128754,-43.143982,-8.231215,-1.2741245,0.12148098,1.0384012,2.0015209,0.45521048,-1.4086363,-2.8121085,0.8932732,22.38577,9.977923,2.0547447,603.90704,0.54518545,1110.0321,0.38102075,-153.02646,-0.5458659,1642.5905,0.2291621,822.4667,0.4192104,-140.02586,-0.62539107,2736.8052,0.11798999,751.39056,0.48423553,-140.59161,-0.6041085,-5.83648,-1.9915178,17.48176,0.67109364,0.0736487,0.49690524,-0.011597938,-1.6847671,0.7784351,1.1107225,14.013063,1.1459438,-1.0285873,-16.70572,0.09610724,213.15436,-14.399134,-0.9673016,-7.755411,17.184391,0.038365155,-0.010078263,0.10444389,1.8475751,2.4748647,0.116875,0.10542881,0.283,0.7030559,-30.225779,0.899999976,1,1
./voice\tgtgtg\condition4\c03.wav,0 days,0 days 00:00:11,34.434555,0.30901805,26.209614,34.40565,38.36857,12.158955,295.8304,231.9527,343.4617,452.90155,0.55641776,1.1043981,0.097051896,0.2237431,1.0680724,0.9710205,17.170029,13.079434,12.634398,9.186902,0.43149713,1.5958829,16.774025,0.657734,1.9186058,6.7539954,-2.5109713,-5.774182,-14.105149,-0.7700018,0.10006093,1.2682133,2.2599928,0.53399175,-0.71794415,-5.9558897,-2.323834,-6.7818627,10.596102,1.5057812,585.2364,0.46149674,1168.5632,0.23759216,-142.0844,-0.61869514,1608.6117,0.22652254,877.9719,0.38138843,-127.19193,-0.7069472,2706.5486,0.118173964,763.26056,0.5203345,-128.06262,-0.6803347,-7.309873,-1.3719012,18.776836,0.60861635,0.07784224,0.4345088,-0.017698081,-1.0955257,0.9332081,0.87224936,18.255693,0.7220217,-1.3168067,-13.68381,-2.6438324,-7.6075907,-18.838074,-0.75500506,-8.381622,16.805769,0.045562334,-0.013465182,0.11705599,2.365787,2.559415,0.14214286,0.14893328,0.26333332,0.4699793,-28.708689,0.300000012,1,1
./voice\tgtgtg\condition4\c04.wav,0 days,0 days 00:00:11,30.209778,0.3737819,21.229118,28.053843,35.85282,14.623703,380.45352,464.98956,449.62537,769.69006,0.59396076,1.0560405,0.102036774,0.2975358,1.0706658,0.96862906,15.121021,9.138071,12.565189,8.634015,0.51300794,1.4868568,19.061865,0.63194865,4.691203,2.3324428,-2.1527624,-6.4422026,-15.566721,-0.7926071,0.12027594,1.2178528,2.2145967,0.5757194,-1.066275,-3.8309062,0.5459293,37.10121,16.630901,1.0675402,542.7291,0.4790307,1207.4866,0.19138071,-122.19852,-0.7831867,1558.5513,0.21632542,897.332,0.32926348,-115.62678,-0.7972969,2677.7954,0.11043109,706.0139,0.4476664,-117.563225,-0.75271785,-11.154109,-0.91194564,22.964725,0.4675809,0.090291716,0.40397877,-0.020650296,-0.7987884,0.9861068,0.8783306,21.612326,0.6260609,4.7189817,2.9969888,-3.0189152,-5.7580695,-21.282972,-0.7030136,-8.715618,17.715193,0.047190204,-0.013418854,0.13997692,2.7297544,3.027523,0.13393939,0.13105491,0.16499999,0.29820293,-27.018114,0.200000003,1,1
./voice\tgtgtg\condition4\c05.wav,0 days,0 days 00:00:12,30.616095,0.28852504,22.869347,29.98941,38.669754,15.800407,240.33215,126.427055,321.6973,364.0049,0.2275995,1.3961115,0.08387457,0.09356278,0.27532455,0.19144998,11.081716,8.128021,6.8697643,5.240741,0.13861762,2.6401222,19.229185,0.33617616,4.098884,1.6759691,-2.7016668,-3.5467222,-10.023357,-0.9733453,0.14285286,1.0317485,2.2775013,0.49782985,-1.4363111,-2.6072786,1.7146074,12.43732,12.57457,1.3310279,654.0544,0.42113078,1151.4446,0.1933385,-172.6743,-0.39565453,1708.9481,0.20121585,897.62036,0.31224385,-168.9881,-0.4099543,2770.915,0.13745266,783.52246,0.3921968,-169.8389,-0.3965086,-9.970485,-0.8726773,22.169415,0.441606,0.08154195,0.52644056,-0.01541931,-1.1576746,0.6410397,1.0558145,19.802729,0.43054053,0.022169115,459.0967,-2.8695111,-6.976696,-15.628303,-1.1378905,-10.319469,19.02391,0.03772373,-0.016035924,0.036402445,0.91743124,1.1735122,0.12857142,0.12966204,0.69785714,1.1959646,-35.293266,-0.100000001,1,1
./voice\tgtgtg\condition4\c06.wav,0 days,0 days 00:00:11,33.4241,0.35116506,23.249046,30.339752,47.501045,24.251999,438.49173,619.29047,314.16556,366.94724,0.4909354,1.1227789,0.09289155,0.2399318,0.8216266,0.728735,13.282697,10.726379,10.952001,8.48799,0.37738466,1.6642405,19.146124,0.5455415,0.7342091,12.179698,-2.2269983,-5.1594357,-15.211341,-0.73585206,0.1054791,1.0379177,2.203863,0.5136814,-0.64725244,-7.0450234,0.15541086,120.928406,12.473456,1.618681,599.62445,0.4451901,1207.8103,0.22575219,-139.14801,-0.6387474,1647.6053,0.19852978,896.11896,0.3550326,-127.12051,-0.69237196,2724.6118,0.113885,804.0871,0.44725758,-128.12532,-0.67237693,-9.973941,-0.96845055,21.293528,0.4991544,0.09315188,0.37945884,-0.021599934,-0.80697787,0.7988602,0.945064,20.183784,0.7121183,-0.45957047,-25.59922,-1.2217972,-13.265076,-20.392052,-0.6661317,-8.634041,18.075668,0.046562873,-0.012115012,0.10906189,2.0928116,2.6508229,0.13793103,0.12287867,0.311,0.833792,-29.806278,-0.100000001,1,1
./voice\tgtgtg\condition4\c07.wav,0 days,0 days 00:00:11,32.405407,0.30845627,23.348272,32.66524,38.940216,15.591944,428.1644,646.1733,311.8323,305.34717,0.4416551,1.3148981,0.094744116,0.11984668,0.75656044,0.66181636,13.131829,7.941069,9.289249,6.4949265,0.3084313,1.9438702,19.127167,0.5483648,0.259724,37.79198,-0.6189774,-19.032194,-13.018883,-0.83317053,0.109186,1.0174372,2.058225,0.45291123,-1.5987265,-2.536416,-0.23241246,-95.08057,6.8915615,3.0820684,594.4857,0.48094288,1168.468,0.21131809,-153.05972,-0.5484911,1635.6661,0.22649322,843.25464,0.3214438,-142.29248,-0.6140007,2654.3413,0.11399714,770.2805,0.38906714,-143.0031,-0.6000521,-6.767015,-1.2045014,15.899715,0.643885,0.0885187,0.34040734,-0.019476922,-0.8721498,0.85999304,0.9654975,20.704617,0.63179135,-6.685208,-1.9496019,1.1087822,16.374607,-20.432451,-0.73171854,-9.014927,17.832697,0.038231533,-0.01392071,0.07652008,1.5468608,1.738335,0.16105263,0.13174516,0.43941176,0.8748477,-30.060255,0.300000012,1,1
./voice\tgtgtg\condition4\c08_00.wav,0 days,0 days 00:00:11,37.76263,0.35636652,23.87587,37.01004,51.31312,27.437252,403.14917,572.66156,245.43216,155.29733,0.63085407,1.2433813,0.09173691,0.16714036,1.2275689,1.135832,17.454697,12.877992,14.2982645,8.164401,0.43638572,1.5764441,13.84901,0.96864486,-0.24603805,-51.857464,-6.1350327,-2.4183743,-8.031211,-1.283987,0.1329235,1.1307747,2.1077068,0.46068913,-2.45892,-1.5473522,-4.910659,-4.838454,5.739894,4.096716,758.2906,0.4548792,1047.1405,0.26065445,-145.93074,-0.60289115,1797.247,0.22238412,914.91644,0.3279291,-133.80157,-0.6798043,2825.4934,0.12608075,873.45996,0.42876476,-134.59605,-0.6573878,-1.5390086,-6.548177,15.219747,0.8084308,0.07672357,0.4325878,-0.007648855,-2.8911493,1.0152453,0.79935426,8.188776,2.0557058,-7.7804294,-2.2369058,-12.222022,-1.7644016,-8.374406,-1.817725,-8.793465,18.006073,0.044045124,-0.012971966,0.13061503,2.2747953,2.3831348,0.13192306,0.14008293,0.24642856,0.5562515,-28.631594,-0.300000012,1,1
