./voice\shizumizu\condition3\c00.wav,0 days,0 days 00:00:13,26.081804,0.34659016,16.319342,28.695503,35.394753,19.07541,324.4799,506.6804,119.939575,117.17388,0.3711555,0.8363079,0.13915321,0.2171099,0.6008016,0.46164837,5.58562,4.226549,4.3002005,2.5207422,0.22642298,1.0840671,35.99602,0.276167,6.389876,1.3623785,-5.0320554,-2.6192305,7.1452737,1.7087265,0.07029994,1.9197208,1.4786135,0.6286326,2.8933432,2.3406775,-10.7863455,-2.1973393,19.15616,1.1857705,719.4847,0.30108654,1392.213,0.16573124,-43.429554,-1.4033334,1615.8276,0.16347745,1116.2921,0.2450106,-48.551605,-1.177079,2815.5713,0.1403107,962.35706,0.30382904,-62.03466,-0.8454745,-14.502976,-0.5630678,35.09858,0.29515436,0.003631983,7.578917,-0.006739526,-2.1641834,0.25197577,0.9148819,37.62942,0.24673775,5.9983215,1.4712776,-4.9145365,-2.8459094,6.378849,1.9794066,-11.162428,24.915638,-0.002787481,0.000347089,0.09014455,2.4634335,2.2428463,0.36896554,0.4553085,0.058000002,0.045343135,-29.747559,0.899999976,1,0
./voice\shizumizu\condition3\c01.wav,0 days,0 days 00:00:11,27.558603,0.3056119,17.428732,31.54393,35.350456,17.921724,370.67056,523.0506,86.13811,78.1952,0.7974895,0.79338473,0.21846792,0.61040306,1.3921301,1.1736622,9.861964,6.2872705,7.567148,4.8420553,0.62560165,0.9680936,39.71145,0.18778382,-0.1708443,-60.623055,-4.043903,-3.176076,8.4729805,1.6795017,0.08238979,1.6096522,1.4477396,0.67976785,3.387647,1.9092793,-5.378338,-2.1868212,21.535624,0.641237,744.05444,0.27868506,1368.4076,0.1607942,-18.632338,-1.5150785,1634.2804,0.14626431,1109.1163,0.23595344,-24.139122,-1.1196113,2803.4685,0.14150214,1013.9359,0.3878017,-39.96304,-0.64522463,-13.278602,-0.5279715,33.00646,0.26506922,0.004073009,7.8714414,-0.008712569,-1.6220094,0.6395141,0.95315754,39.988586,0.18183994,-0.08590556,-120.48985,-3.9830537,-3.2372832,8.071087,1.7624396,-7.943841,23.608147,-0.012750391,0.006070765,0.25834024,3.00273,0.7319305,1.32125,1.158344,0.032,0.011661904,-22.986435,0.600000024,1,0
./voice\shizumizu\condition3\c02.wav,0 days,0 days 00:00:13,27.919636,0.2868659,16.838654,31.925184,34.978035,18.139381,351.54037,426.71606,82.2616,62.329445,0.44654799,0.84165287,0.12904632,0.28266513,0.7786637,0.6496174,6.649489,4.73454,4.56855,2.420535,0.28624985,1.0390677,38.640797,0.202614,4.705026,2.1643379,-3.0749066,-4.3951964,6.3338704,2.2082024,0.06576579,2.0319963,1.5379899,0.69401324,4.4120994,1.4768802,-8.849758,-1.9720451,19.59393,0.8656882,730.8856,0.27652436,1374.5913,0.15604317,-45.888718,-1.4207349,1649.1237,0.16105556,1089.113,0.24994415,-50.559025,-1.2006655,2845.2793,0.13132529,995.8961,0.455521,-63.776466,-0.8699901,-15.176211,-0.6035314,35.529236,0.25860152,-0.000343636,-86.22074,-0.01047171,-1.599997,0.33138585,0.9172957,40.2129,0.18147013,4.375797,2.4726114,-2.295547,-6.2633643,5.2074733,2.8320923,-11.9042015,28.416275,-0.004481528,0.000436421,0.060184788,2.4634335,2.0897832,0.3911111,0.60101354,0.08947369,0.122279815,-27.224844,-0.200000003,1,0
./voice\shizumizu\condition3\c03.wav,0 days,0 days 00:00:11,34.724064,0.17236857,32.695274,35.75107,38.21223,5.5169563,322.9677,381.2196,136.62167,197.93797,0.42669728,1.0215262,0.0790959,0.19913198,0.8113994,0.7323035,6.4183435,6.2249165,3.804924,2.3609324,0.23007572,1.3913006,34.464336,0.31970936,6.200039,1.8604498,-6.312609,-2.1283603,4.0835156,3.0922277,0.03992428,2.2890692,1.2152765,0.8227615,8.377789,0.6637651,-2.82447,-3.9839444,26.460503,0.41780722,779.7033,0.22744875,1351.8998,0.17848125,-101.64837,-0.8875192,1675.4169,0.14676985,1064.5236,0.25846422,-99.99667,-0.85645795,2988.8596,0.10642826,956.8476,0.41248378,-111.13932,-0.6841724,-13.463226,-0.87039864,39.990128,0.2494137,0.025771147,1.4326527,-0.011109691,-1.3445835,0.3837032,0.9242559,41.981495,0.19637927,2.9028757,4.604461,-9.585202,-1.7309275,-0.41866374,-33.73432,-13.108148,27.219028,7.93E-05,-0.001775049,0.02705459,1.6378527,1.3748854,0.4053333,0.38475734,0.29799998,0.47858402,-28.057783,-0.400000006,1,0
./voice\shizumizu\condition3\c04.wav,0 days,0 days 00:00:13,30.494762,0.23408489,23.075851,33.70617,35.52351,12.447659,211.78926,152.81816,201.5251,240.05522,0.33296406,0.8912542,0.088135436,0.18501754,0.61816645,0.530031,6.0417547,5.0170937,3.5643148,2.5848944,0.20291023,1.1785184,33.850563,0.27463076,11.138925,0.8146837,3.628084,4.070671,6.9763308,1.7356079,0.04883864,1.8809432,1.4032751,0.82196176,6.6230626,0.94951886,0.86781377,20.328049,24.233517,0.61515343,733.40875,0.30832845,1327.2128,0.19045714,-89.22969,-0.92082256,1740.0574,0.17389499,1043.3347,0.3317478,-90.69503,-0.84442824,2926.8528,0.11995217,919.1699,0.46074057,-98.12835,-0.7260828,-20.437777,-0.47987595,38.17783,0.24855052,0.013052777,2.5534003,-0.01347843,-1.0892044,0.2924845,0.8663983,37.85306,0.23554525,11.732975,0.88443583,6.906731,2.44552,4.397669,3.0938325,-13.20206,28.90381,-0.002293415,0.001292255,0.033966787,2.0015397,2.244582,0.28,0.33555922,0.15259258,0.15476608,-27.035563,0.300000012,1,0
./voice\shizumizu\condition3\c05.wav,0 days,0 days 00:00:12,30.57597,0.20685345,25.026491,31.630651,35.446114,10.419622,367.79437,350.4542,114.86914,115.15215,0.36645707,1.0502765,0.06987418,0.17068624,0.69272923,0.62285507,7.531936,5.2485647,4.8242197,3.5832055,0.22581816,1.4053217,32.088844,0.3912927,7.863519,1.4296176,-0.80554116,-17.993727,5.7028275,1.9413117,0.059434187,2.0654233,1.5313853,0.80666006,6.1727586,0.8659558,-1.7477005,-10.887292,23.254076,0.7982395,706.8416,0.3204886,1392.0739,0.17061715,-102.96378,-0.86327106,1639.7349,0.18766405,1117.6833,0.28503618,-100.62018,-0.8529574,2788.39,0.14429311,1025.5487,0.39843503,-109.6655,-0.7121109,-15.242013,-0.6632431,35.986725,0.30495697,0.014290443,3.0597723,-0.013916927,-1.1189624,0.37834793,0.92682624,39.72217,0.25827947,4.7669044,2.762135,-1.910401,-9.503386,4.038141,3.2683444,-13.224527,26.28808,-0.008019621,-0.002218884,0.023374906,2.2518766,1.6764461,0.327,0.29499322,0.2568421,0.37578064,-29.539255,-0.600000024,1,0
./voice\shizumizu\condition3\c06.wav,0 days,0 days 00:00:11,29.6799,0.24156293,21.745052,32.179047,35.604343,13.859291,223.30739,156.85634,120.121376,93.803246,0.17190239,1.2517781,0.04818605,0.06334025,0.27965266,0.2314666,4.395186,2.546507,3.6315465,2.512847,0.11094615,1.8432965,20.26429,0.7405595,11.555133,0.7687806,3.834564,2.5668597,5.246572,1.8662685,0.089474596,1.7018174,1.7291545,0.80731106,5.736243,1.1213512,3.4495673,4.963618,31.189844,0.5332254,725.7307,0.27245224,1337.8765,0.16853665,-145.16469,-0.5641683,1741.6268,0.17400624,1058.9318,0.27173096,-145.65927,-0.5350656,2906.585,0.12518899,972.9329,0.33423248,-149.54655,-0.48286545,-23.3634,-0.47101334,39.276253,0.28421733,0.01872536,2.3780665,-0.025772877,-0.7365877,0.3147459,0.80449086,38.86675,0.29870704,14.481705,0.9039485,3.214321,4.662843,2.0853953,6.8527155,-10.7717705,21.010134,-0.014119227,-0.001015512,0.010101481,1.455869,1.0978957,0.29416665,0.18997623,0.65,0.68486226,-33.493362,0.100000001,1,0
./voice\shizumizu\condition3\c07.wav,0 days,0 days 00:00:12,30.105587,0.22278947,22.941027,32.439835,35.463764,12.5227375,319.54062,619.8878,72.867676,86.219444,0.35809687,1.215021,0.05381295,0.13587326,0.66387403,0.61006105,9.908904,11.492647,5.233738,4.1550775,0.22890508,1.7369246,26.060574,0.61776185,9.6207695,0.9209271,4.0572767,3.1620276,5.9919105,1.794431,0.046263315,2.114934,1.4053515,0.85097945,6.4962525,0.9386891,-0.79191905,-20.46368,25.691298,0.60274875,735.8133,0.288079,1360.3242,0.18309627,-105.70202,-0.8467412,1682.777,0.168367,1077.1135,0.28909916,-107.59898,-0.7840617,2852.3494,0.11348419,961.1682,0.38757986,-115.63623,-0.6652576,-18.785988,-0.43775517,37.582855,0.27896404,0.010448417,3.7189817,-0.017701825,-0.8198944,0.41335085,1.1364,38.444435,0.30359522,9.683663,1.1755898,2.6042006,6.3336306,4.255917,3.0946088,-10.613345,20.177893,-0.014550432,-0.001812682,0.015085369,1.5846539,1.4237857,0.3652941,0.42829508,0.3275,0.7012177,-24.808683,-0.200000003,1,0
./voice\shizumizu\condition3\c08.wav,0 days,0 days 00:00:13,31.100523,0.1465121,30.199286,31.777506,34.24354,4.044256,348.586,316.78323,137.25343,155.63605,0.19231172,1.1284529,0.047178358,0.077640764,0.34087408,0.29369572,2.8359194,2.1767187,1.9633865,1.2738403,0.08627239,1.7406181,21.815332,0.672799,11.33157,0.81939155,3.1475666,2.8935523,8.433983,0.9079965,0.033526886,2.6093202,1.0189483,1.0069858,8.799992,0.55746543,0.9563421,19.890461,26.92218,0.61394405,761.2843,0.31722254,1378.5917,0.20081191,-142.85907,-0.5706811,1740.0599,0.18638176,1178.6372,0.29976654,-140.83148,-0.55532455,2988.9993,0.12420375,1019.5292,0.39189604,-146.66321,-0.48049915,-21.892952,-0.42633405,43.001644,0.25317478,-0.00868888,-2.6490302,-0.013868615,-0.91431004,0.21374561,0.8897154,38.441593,0.27199966,16.521994,0.66394466,3.650337,3.4279902,9.9615,0.962068,-9.477384,21.049547,-0.009036192,0.001741819,0.012939615,1.6166282,0.8507348,0.41636363,0.5424401,0.675,0.72866887,-31.752813,0.300000012,1,0
./voice\shizumizu\condition3\c09.wav,0 days,0 days 00:00:11,33.873035,0.18645073,31.188644,36.311665,38.595158,7.406513,342.22458,426.7707,44.354458,29.236311,0.4085864,0.95724034,0.06962621,0.242867,0.75436443,0.6847382,7.883736,5.632291,4.5829864,3.7705708,0.20643784,1.2645401,30.950483,0.51564497,7.339623,1.5465708,-0.13751392,-101.23444,3.2175214,4.1807823,0.03244666,2.6708512,1.0547684,0.9664903,9.317469,0.5762102,4.735754,4.0239315,32.189354,0.4530006,736.311,0.2327913,1371.5502,0.17705446,-91.02399,-0.9585057,1699.5554,0.14861013,1032.7063,0.27452403,-91.38499,-0.88982767,2945.2654,0.11566353,1058.7137,0.4310764,-102.2066,-0.7146077,-18.75199,-0.5357184,39.007244,0.27715188,0.031063365,1.5576981,-0.020393023,-0.7138061,0.3103295,0.8886214,41.115078,0.233644,7.349665,1.7274632,-3.1221266,-5.100123,-0.83362657,-15.850676,-9.676482,20.421867,-0.018028906,0.000990295,0.020915836,2.0018198,1.3736264,0.45333332,0.34202665,0.25333333,0.32219383,-29.078886,0.600000024,1,0
