condition4
date: 21/Dec/2020:10:40:13 , slide: id=8
date: 21/Dec/2020:10:40:14 , slide: id=10
date: 21/Dec/2020:10:40:21 , slide: id=8
date: 21/Dec/2020:10:40:23 , slide: id=6
date: 21/Dec/2020:10:40:24 , slide: id=8
date: 21/Dec/2020:10:40:25 , slide: id=6
date: 21/Dec/2020:10:40:25 , slide: id=8
date: 21/Dec/2020:10:40:38 , slide: id=10
date: 21/Dec/2020:10:40:42 , slide: id=8
date: 21/Dec/2020:10:40:43 , slide: id=10
date: 21/Dec/2020:10:40:43 , slide: id=8
date: 21/Dec/2020:10:40:45 , slide: id=6
date: 21/Dec/2020:10:40:45 , slide: id=8
date: 21/Dec/2020:10:40:48 , slide: id=10
date: 21/Dec/2020:10:40:53 , slide: id=8
date: 21/Dec/2020:10:41:03 , slide: id=6
date: 21/Dec/2020:10:41:04 , slide: id=8
date: 21/Dec/2020:10:41:05 , slide: id=10
date: 21/Dec/2020:10:41:16 , slide: id=8
date: 21/Dec/2020:10:41:19 , slide: id=6
date: 21/Dec/2020:10:41:20 , slide: id=8
date: 21/Dec/2020:10:41:26 , slide: id=10
date: 21/Dec/2020:10:41:27 , slide: id=8
date: 21/Dec/2020:10:41:30 , slide: id=6
date: 21/Dec/2020:10:41:38 , slide: id=8
date: 21/Dec/2020:10:41:41 , slide: id=6
date: 21/Dec/2020:10:41:42 , slide: id=8
date: 21/Dec/2020:10:41:43 , slide: id=10
date: 21/Dec/2020:10:41:43 , slide: id=8
date: 21/Dec/2020:10:41:43 , slide: id=6
date: 21/Dec/2020:10:41:52 , slide: id=8
date: 21/Dec/2020:10:41:54 , slide: id=10
date: 21/Dec/2020:10:42:00 , slide: id=8
date: 21/Dec/2020:10:42:04 , slide: id=6
date: 21/Dec/2020:10:42:07 , slide: id=4
date: 21/Dec/2020:10:42:11 , slide: id=6
