./voice\matsuhashi\condition1\c00_00.wav,0 days,0 days 00:00:11,26.475348,0.3927909,20.506046,23.47378,26.56424,6.058193,591.7604,858.31665,230.23183,360.38837,0.49614015,1.1340107,0.11682756,0.2385763,0.83555335,0.7187258,14.685756,12.002319,11.061048,9.942961,0.31045017,1.44753,18.004898,1.2695024,-1.7119411,-10.940355,17.860273,1.1557359,-1.1519208,-14.732947,0.052254546,1.5068815,1.8114667,0.82300603,0.81493276,5.8984632,3.2611103,3.7990859,19.596876,0.8952987,515.74347,0.38699892,1199.2114,0.275416,-106.65522,-0.9061394,1546.5681,0.18176812,926.9878,0.3388589,-107.419846,-0.83894384,2561.1663,0.089982376,829.53076,0.32397053,-108.276665,-0.8212433,-11.494014,-1.1154437,20.315556,0.61643857,0.03990049,0.89434826,-0.01908477,-1.2319882,0.5236712,0.9006992,34.519848,0.5069439,-6.3999453,-3.0292616,23.276384,0.93412083,-1.8264631,-11.347048,-0.23399289,5.5291348,0.010985845,-0.003528587,0.102251336,2.456779,2.3787742,0.19884615,0.18882892,0.19148147,0.33480456,-28.322636
./voice\matsuhashi\condition1\c00_01.wav,0 days,0 days 00:00:11,26.56287,0.4081855,20.071676,23.25489,26.356167,6.2844906,280.55164,257.85782,210.07402,375.372,0.40389186,1.2868736,0.03975866,0.16449171,0.707607,0.6678483,10.690478,7.263002,10.686374,8.732397,0.2598983,1.4963956,19.542507,1.0518916,-5.6789584,-3.449832,18.614956,1.0044327,1.9806478,6.2686453,0.064349115,1.9169773,2.0555267,0.61823225,-0.13015111,-36.477245,3.1408935,4.3874354,15.760198,1.4022616,572.0014,0.36226436,1222.0619,0.29721868,-118.20805,-0.79129094,1564.8049,0.17144597,1025.0122,0.26834297,-116.605034,-0.7820284,2596.9932,0.077575386,898.5792,0.37531206,-117.464836,-0.76681477,-8.2582,-1.6987785,17.75158,0.7940892,0.028529027,1.1201959,-0.015405136,-1.3339312,0.5211427,0.841508,35.479828,0.47344366,-13.729679,-1.6131977,25.168438,0.8375423,-0.16200992,-90.99037,-6.8152657,16.214104,-0.00789129,-0.0023235842,0.048808478,2.6387625,2.1937845,0.195,0.15429948,0.26,0.4147398,-30.19917
./voice\matsuhashi\condition1\c00_02.wav,0 days,0 days 00:00:11,28.89049,0.41211015,19.913605,23.421553,43.352943,23.439339,742.57214,1005.22144,125.235794,71.561066,0.4162287,1.324566,0.04900554,0.13572802,0.7762336,0.72722805,14.021381,12.222845,11.7763815,11.680632,0.28912234,1.9266617,14.601971,1.2729274,-7.4825563,-2.6464856,15.827516,1.0965176,2.8304117,4.0879993,0.043295823,0.98747724,1.932869,0.58146745,-1.1832025,-3.8983572,4.987686,2.9560204,10.451503,1.9572558,584.5185,0.4115287,1152.7672,0.36129937,-145.6762,-0.5903465,1587.5243,0.17916851,1076.1462,0.32308418,-137.57024,-0.642335,2557.7358,0.08281168,926.40314,0.39806682,-137.16344,-0.6422328,-4.123807,-3.735642,13.491371,0.9520078,0.011899476,2.1524162,-0.003878191,-7.3777604,0.7324805,1.0510434,29.001595,0.7362459,-20.081434,-0.99003196,25.873001,0.69086975,2.3889198,6.550839,-4.2824163,12.415748,0.0022809838,-0.0015283638,0.07308782,2.0928116,1.9195613,0.16142856,0.18815613,0.355,0.486657,-28.774778
./voice\matsuhashi\condition1\c01.wav,0 days,0 days 00:00:11,26.524359,0.37400374,20.795681,23.53901,27.447662,6.6519814,461.27417,857.4656,248.84851,451.86295,0.58973444,1.1324476,0.043112703,0.29908842,1.1189265,1.0758138,13.229004,6.6867003,9.88935,7.2713757,0.43114865,1.2723536,25.858606,0.7892959,-5.9994135,-3.0610325,21.76323,0.9778444,2.4065259,7.191168,0.060579892,1.3277498,1.8882973,0.81901145,0.74060637,7.263952,3.0503592,4.5471306,19.272644,0.95615554,539.6314,0.3874302,1220.6073,0.2632984,-94.04342,-0.99512327,1557.4304,0.1867665,927.2781,0.38526982,-93.74142,-0.9485988,2599.7307,0.0844088,907.19116,0.40245932,-95.8009,-0.90459776,-11.546381,-1.1777776,21.685108,0.5669608,0.02908948,1.4500045,-0.022522358,-1.2112396,0.6838929,0.84409803,37.487297,0.4608299,-8.380387,-2.4923275,25.401972,0.9228189,-0.34765473,-59.62869,-6.320652,15.292283,-0.009537446,-0.0012350854,0.08762938,2.7297544,2.559415,0.21714285,0.2048145,0.15666667,0.18425024,-25.233685
./voice\matsuhashi\condition1\c02.wav,0 days,0 days 00:00:11,28.878948,0.43521693,21.804806,25.356771,29.278528,7.4737225,942.2262,1337.3022,404.07278,708.0774,0.48957092,1.2369301,0.03958787,0.18457198,0.9460573,0.90646946,12.702912,8.460001,9.541079,8.3515835,0.34281424,1.5449991,21.183641,0.9849608,-5.1094494,-4.362062,21.474104,0.8533335,3.665111,3.6368377,0.040837824,1.5832103,1.9130706,0.7017907,1.5760028,3.1784198,2.4481678,5.0415835,18.94857,1.2067367,564.8138,0.34403244,1139.1888,0.3418601,-118.384865,-0.7822902,1625.5676,0.16432881,1003.1521,0.30516976,-114.74394,-0.77531093,2629.4211,0.07875964,950.0625,0.3120128,-115.2164,-0.7640883,-12.021395,-1.3739482,20.27764,0.7344261,0.03283448,0.971671,-0.024904203,-1.0069152,0.6324075,0.9744733,35.905052,0.4990023,-7.187461,-3.594489,29.35093,0.68268,0.86908406,18.846191,-6.988134,16.797375,-0.012422576,8.2963525e-05,0.08416264,2.5477707,2.1043003,0.2152174,0.15681252,0.25809523,0.30638626,-27.257523
./voice\matsuhashi\condition1\c03.wav,0 days,0 days 00:00:12,25.673912,0.3138353,21.279232,23.9508,25.971766,4.6925335,933.1158,767.95953,132.47954,136.0136,0.53222466,1.2568731,0.04440909,0.19659138,1.0956298,1.0512208,11.767804,7.0089355,8.63586,7.0144315,0.34547028,1.4251546,22.135578,0.88580614,-4.5554495,-3.5560021,18.301893,1.0697291,-0.3439574,-40.856018,0.034620486,1.4373887,1.640628,0.8294399,1.692785,2.9467018,3.922478,3.839379,19.519476,0.7440339,553.8151,0.342933,1287.8627,0.21196128,-121.85672,-0.77732503,1583.1984,0.177417,1016.47864,0.37036884,-124.22032,-0.71153414,2603.4846,0.08438509,917.06744,0.340308,-124.955124,-0.6982897,-11.809356,-0.87631345,19.7574,0.5615082,0.041064844,0.7589109,-0.02568123,-0.86667067,0.7003113,0.74639744,39.023945,0.38462248,-7.213488,-2.464187,24.05206,0.9995656,-7.193656,-2.2311242,-5.500024,14.151679,-0.0031023694,-0.0023408814,0.08719428,2.5020852,1.9311503,0.20913044,0.27409792,0.3152381,0.4189513,-26.652697
./voice\matsuhashi\condition1\c04_00.wav,0 days,0 days 00:00:11,28.480042,0.40550342,21.771282,24.579027,29.786755,8.015472,272.3784,211.4536,244.6902,318.68008,0.5880255,1.1056049,0.05441788,0.3042377,1.1399317,1.0855138,14.441994,7.5005655,11.019372,7.7910247,0.39239186,1.2999111,24.710106,0.8393198,-8.097752,-2.8068452,22.500778,0.9232251,3.8279207,4.31996,0.036962885,1.6263282,1.7825449,0.74766433,1.7635963,2.789852,2.7141376,4.6499453,16.674032,1.2356766,534.7161,0.36522287,1184.4664,0.30392262,-102.09408,-0.9327851,1594.4043,0.16947024,955.39746,0.32193533,-97.49191,-0.9388082,2576.8179,0.08855971,925.26514,0.3271754,-98.44518,-0.91788286,-8.932734,-1.7475889,18.559996,0.74121624,0.033561435,0.98094755,-0.01651069,-1.3720658,0.581027,0.88720477,35.872314,0.51565975,-13.628976,-1.86919,29.032364,0.7208004,3.6577253,5.15056,-6.252533,15.074178,0.00017269008,-0.0042671137,0.15128274,3.0937216,2.197802,0.24333334,0.3004256,0.20818181,0.2631563,-27.179424
./voice\matsuhashi\condition1\c04_01.wav,0 days,0 days 00:00:11,26.852,0.39882514,20.597443,23.619667,27.16451,6.567068,346.63666,202.62666,102.22504,75.87825,0.46031973,1.2480043,0.040542863,0.18470597,0.86825913,0.8277163,12.600434,8.136802,11.282853,9.404409,0.28692794,1.480699,21.583416,0.90687674,-4.584831,-4.464205,16.804827,1.0790312,1.1120797,12.332337,0.035460792,1.4273348,1.7561611,0.7674814,1.1862178,4.0489883,3.789351,2.3549585,19.35239,0.80587703,556.71045,0.3591276,1284.5684,0.2424926,-117.68752,-0.8091928,1564.0482,0.16600353,1030.3547,0.34623602,-115.67385,-0.795742,2603.245,0.08581967,949.4298,0.41969642,-117.7287,-0.75971675,-8.592365,-1.5190318,19.222784,0.59248406,0.036517262,0.9362146,-0.012215934,-2.060751,0.55102444,0.84220135,37.19138,0.43695667,-13.867892,-1.5735102,22.659779,0.8801746,0.008056536,2174.2468,-7.804679,16.521002,-0.0035191744,-0.0044294335,0.07469307,2.5477707,2.1023767,0.20391303,0.16602093,0.25,0.41142383,-28.577032
./voice\matsuhashi\condition1\c05.wav,0 days,0 days 00:00:12,26.932056,0.3696454,21.595121,23.758259,26.887337,5.2922153,466.55173,1041.8798,87.39506,82.34159,0.7523928,1.0378021,0.046532486,0.51693875,1.4085276,1.3619951,16.047985,10.268291,9.720704,6.0658054,0.4942785,1.1768168,26.869646,0.7455904,-5.3591223,-3.802688,25.358805,0.8973358,-1.9887736,-7.3577166,0.030785274,2.3154204,1.4881259,0.88425314,2.831182,1.6164211,4.041018,2.125548,19.446922,0.96660334,519.49207,0.3430034,1222.1812,0.26287946,-87.82592,-1.0862722,1569.633,0.17445478,911.73114,0.39965057,-89.30877,-1.0018799,2630.575,0.07521653,893.0534,0.37132326,-89.63472,-0.9909935,-11.083161,-1.3426288,19.507284,0.7629401,0.038734462,0.7725126,-0.022306735,-0.8683225,0.751753,0.7645692,38.429905,0.41479036,-9.6961565,-2.2614698,34.44283,0.6613746,-4.081893,-4.021978,-8.155734,16.872585,2.2334577e-06,-0.0063049006,0.10769949,2.6688907,1.927913,0.30043477,0.31265312,0.25055555,0.59038097,-23.970057
./voice\matsuhashi\condition1\c06.wav,0 days,0 days 00:00:12,26.49091,0.41677848,20.096786,23.096046,27.627087,7.5303,358.9744,351.7029,233.38036,275.07352,0.47898528,1.4449052,0.042804904,0.11057025,0.7387379,0.695933,15.636236,11.422408,10.033834,7.4166417,0.3020888,1.6987848,15.29552,1.3984704,-0.6976441,-26.517908,17.569199,1.0674652,5.025231,2.4743464,0.08397212,1.7956175,1.7998612,0.73025656,1.4153769,3.144187,3.9428265,3.1938376,16.576328,1.0809503,520.44507,0.3219126,1180.8403,0.2959705,-126.90412,-0.7316205,1577.5841,0.16307792,888.4848,0.4014347,-126.0471,-0.7093988,2584.0142,0.08120648,870.08234,0.32940844,-124.87217,-0.71527094,-10.119506,-1.3110617,18.16567,0.68811,0.033420466,0.97426885,-0.01818312,-1.1804756,0.65376645,0.9321494,33.065056,0.5685238,-5.549024,-4.151521,28.573786,0.7200439,4.351131,3.5141392,-4.710588,13.621841,-0.0061070397,-0.0005115436,0.056675408,2.1684737,1.5926237,0.24157894,0.20969309,0.3405,0.56135976,-27.48054
