F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,SentimentAnalysis,Activation,Reward
28.461378,0.32284603,21.843346,28.558426,31.903564,10.060219,353.3325,264.5467,128.24638,62.995102,0.19444431,0.9263797,0.048021823,0.12909979,0.3169555,0.26893368,4.6137323,3.4243834,3.808525,3.722228,0.08173448,1.6265019,8.234603,2.1169534,12.243648,0.90606254,2.7159543,4.142398,-0.044548173,-250.89699,0.083766915,1.1950988,1.848186,0.6959226,0.73805714,7.656797,0.32440424,79.803246,25.599075,1.1629723,601.09326,0.33026552,1275.5463,0.22668183,-151.92175,-0.5495589,1609.5677,0.15375316,959.2955,0.3587963,-152.18344,-0.52090317,2754.6494,0.09651362,949.4582,0.52817756,-154.0863,-0.48831874,-15.108815,-0.806258,28.419176,0.50666255,0.054876644,0.69109917,-0.021192245,-0.83119094,0.20867383,0.9252275,25.82776,0.7190365,16.033287,0.9069694,0.10852664,132.85056,-2.2980852,-5.4687963,-4.873942,13.07267,0.012787741,-0.002182524,0.035854604,2.8207462,1.5625,0.16235293,0.16770174,0.514,0.56947696,-42.384598,0.100000001,1,1
26.57759,0.24220034,20.146046,29.005434,31.158192,11.012146,354.009,471.68634,178.38206,156.51166,0.08718308,0.8268,0.04989446,0.060441483,0.102055214,0.052160755,2.5290306,2.6378837,1.3668985,1.0297107,0.032222662,2.6723385,9.630296,1.1533611,11.581016,0.74838656,3.8747132,2.2106812,2.215848,4.192193,0.07769892,1.7537625,2.1446698,0.56032914,2.308542,2.6575146,3.011214,9.40693,25.329592,1.1290474,640.0974,0.42218864,1298.4955,0.21013355,-170.79068,-0.38397372,1647.4714,0.20868191,1029.0565,0.28776035,-171.48,-0.36091223,2756.7905,0.12059908,909.6407,0.29879773,-172.87917,-0.33922178,-19.458479,-0.490792,32.83207,0.32618308,0.02438752,1.905062,-0.01719233,-1.0914052,0.12998019,1.3108855,26.816133,0.48959705,18.926035,0.6762205,3.9073813,3.436496,4.0689697,3.7110271,-8.710021,18.689737,0.013154944,-0.002193457,0.011531976,1.455869,1.4625229,0.109375,0.051656164,0.49055555,0.70645803,-46.746796,0.300000012,1,1
25.780304,0.2909048,18.100485,28.473656,31.733627,13.633142,445.9167,504.1389,131.65111,128.04547,0.16380224,1.423684,0.051547036,0.06946623,0.19784455,0.14629751,7.1595416,6.38915,6.7694464,7.585457,0.111382455,2.377737,15.545739,0.8527417,13.399053,0.7152674,4.9188156,2.1620722,3.2883353,2.844583,0.08556923,1.4440256,2.087337,0.6275859,1.2218876,5.029824,-4.4488497,-7.0951576,19.852074,1.7454284,612.4459,0.32076725,1323.0438,0.15224987,-140.83986,-0.6168547,1647.6183,0.1354879,1029.9241,0.32666618,-142.5115,-0.570239,2718.9224,0.1034242,828.84454,0.48455584,-144.8335,-0.53793573,-19.74341,-0.47910166,31.610584,0.31546822,0.045880374,0.8818778,-0.023007914,-0.6750425,0.27998516,1.3652471,30.391544,0.38415077,17.456873,0.77215093,4.8822613,3.1716611,2.8593976,4.7208953,-10.19642,19.935345,0.020915722,-0.0031679,0.029152142,2.0928116,2.1023767,0.14521739,0.1244071,0.3352381,0.57649696,-38.379066,-0.100000001,1,1
27.327452,0.38996583,17.890495,28.146381,31.98404,14.093544,344.07254,139.78018,593.72876,511.28223,0.09089,0.8124338,0.052876495,0.06585471,0.10372999,0.0508535,1.9150136,2.4926207,1.5469424,1.8663561,0.01587013,1.6123186,5.150504,1.8242534,10.99203,0.72265655,0.45107517,16.563334,1.341497,4.9762955,0.09983588,0.97438556,2.0875037,0.4512486,0.4561021,13.14238,0.9508345,36.76451,22.437529,1.4040357,609.39294,0.33506492,1267.5791,0.22716351,-191.34116,-0.2107346,1653.0231,0.1652071,1017.55096,0.24611089,-191.63167,-0.19451858,2752.9036,0.089691035,800.2382,0.28979936,-191.36255,-0.19468221,-17.701027,-0.63167584,28.403124,0.42375183,0.048573885,0.46590573,-0.021977764,-0.7288739,0.068288326,0.5544717,20.833715,0.794689,21.2662,0.5802511,1.2483666,7.540246,-0.4207188,-22.655731,-6.9507413,16.121943,0.0227885,-0.003218328,0.012790226,1.9108281,0.73126143,0.067499995,0.031124748,1.1366667,1.0002778,-55.569664,0.300000012,1,1
48.258877,0.32976612,28.861322,60.27764,61.563984,32.70266,1500.2703,0,-205.7942,0,0.07804282,0.9003609,0.049283475,0.05532199,0.08053355,0.031250075,3.1372628,5.1857743,0.5456848,0.56660837,0.011679868,2.4299026,2.6638439,3.0007303,11.262279,0.48705366,3.4305751,1.8444464,1.3263366,5.4187245,0.07952711,0.26492128,2.4677882,0.38999513,-3.828152,-2.1762018,3.7247941,3.808091,9.146587,2.4148848,741.423,0.49892792,962.0694,0.4551144,-199.58832,-0.06756524,1759.473,0.14420862,816.4006,0.465029,-198.75783,-0.08636705,2726.5554,0.07783997,757.5521,0.377126,-197.46118,-0.11717593,1.4200045,15.43273,6.6875896,3.3925183,-0.009585687,-3.602064,0.010162992,1.4194193,0.08424783,0.76289004,-10.4574,-2.2968674,15.141577,0.8627416,14.818579,0.58260834,6.187092,2.1356266,-7.0655055,16.232502,0.010637173,-0.002598577,0.01029764,0.81892633,0.36563072,0.037499998,0.0147902,2.6725,2.9842703,-57.907787,-0.800000012,1,1
47.992462,0.2886037,30.422667,57.710865,59.748028,29.325361,9.187222,0,185.732,0,0.11090303,1.0029418,0.05326955,0.06218812,0.15049233,0.097222775,1.2786387,0.82804185,1.9916092,1.5815386,0.020873671,2.030396,0.18849407,54.071697,12.295793,0.7115414,3.5559163,2.5659068,-0.24442278,-46.913174,0.04716328,0.47875088,2.7527263,0.3779824,-1.6192428,-4.812136,3.3785813,4.2555165,-0.2796022,-79.34991,665.0933,0.4878861,894.3397,0.34126025,-199.8892,-0.057005707,1537.3885,0.21665023,767.9053,0.2227029,-198.56372,-0.08843729,2739.8855,0.10714064,733.38696,0.1607023,-197.31966,-0.11771857,1.133685,16.752384,4.656848,4.7203526,0.00087293,41.514763,-0.006892921,-0.939311,0.064520776,0.8322553,-4.6074243,-3.93726,20.640587,0.55389524,16.524147,0.86881405,-16.477165,-1.7834584,-4.5503755,12.556587,0.008225465,-0.001271442,0.020142667,0.81892633,0.4570384,0.034,0.010198039,1.7766666,1.4635534,-50.62689,-0.100000001,1,1
23.457802,0.28943875,16.091917,24.922653,28.36239,12.2704735,345.42316,363.89206,160.36687,133.61235,0.10215369,0.8628612,0.051540915,0.06365396,0.13756916,0.08602825,2.2174814,1.9416795,1.9590868,1.9538301,0.035128165,1.8975767,10.908468,1.1145773,11.715227,0.7042168,2.2454267,4.5965633,-0.43070626,-23.43862,0.08996005,1.9634818,1.6721114,0.63876015,-0.2794935,-20.44107,-6.2631764,-6.020221,21.01071,1.9998133,608.4543,0.32485637,1326.8965,0.15416153,-165.50517,-0.43456927,1620.0977,0.17406277,1034.4395,0.34983388,-166.46272,-0.40551907,2766.1604,0.10702154,814.5694,0.4461192,-168.59277,-0.37440437,-17.418753,-0.53015083,31.413494,0.34837142,0.036817733,0.8712077,-0.020081412,-0.7272597,0.1005752,0.8553425,28.65518,0.4490604,17.311073,0.6999976,-0.51385486,-31.121567,-2.4411964,-5.1479573,-8.320325,17.981646,0.015758924,-0.003843197,0.01941156,2.1555042,1.7001547,0.100909084,0.12413003,0.4068,0.4200259,-49.391937,0.5,1,1
25.5581,0.2931683,18.223991,26.219772,29.770489,11.546497,237.73157,170.21074,324.23422,452.55405,0.09433147,0.7704869,0.04907549,0.060823932,0.12298564,0.07391015,2.552119,1.6870167,1.5297642,1.3064255,0.037249405,1.7220895,10.956148,1.1689966,11.427865,0.71439517,3.9008646,2.35422,2.2870033,4.001713,0.068746135,1.6429094,1.9334629,0.74397635,1.7059872,2.9370637,1.6864189,12.765809,27.901278,0.8973008,624.7124,0.3279514,1303.6896,0.15607545,-161.55013,-0.45742297,1682.0278,0.16612321,987.3545,0.2742792,-162.52084,-0.42367983,2739.006,0.104731925,873.41077,0.3885858,-164.16428,-0.40047553,-20.464355,-0.3840155,32.045113,0.29078943,0.03511761,1.15622,-0.025801687,-0.612296,0.112666115,0.7940605,29.233328,0.40677425,19.239336,0.5255918,5.4588637,2.5065477,1.2686232,7.877475,-8.539894,19.1835,0.002704209,-0.003651838,0.016015371,3.0937216,2.1937845,0.09166667,0.0838484,0.37272727,0.52433664,-48.00737,0.899999976,1,1
24.586134,0.29436365,16.272379,25.71323,30.551754,14.279375,226.06207,200.48436,149.89635,83.70654,0.10506782,0.906393,0.05280197,0.06584429,0.1361391,0.08333713,1.6737497,1.2656126,1.4033475,0.97967845,0.036661457,1.8381387,11.716913,1.0656614,11.263114,0.94512635,2.1324,5.2998185,0.51735187,17.010881,0.095814206,1.5317518,2.4232647,0.5404791,-1.3896904,-4.028976,-9.275024,-4.362656,14.213952,2.9462943,666.72565,0.33326092,1307.1476,0.15097032,-166.46864,-0.4289292,1708.4135,0.19814652,1070.0364,0.30261728,-167.0259,-0.41027352,2792.0737,0.12769215,865.7553,0.29269567,-168.66386,-0.38562456,-16.576675,-0.6018529,30.377506,0.30118173,0.045943465,0.8509893,-0.021654086,-0.7235889,0.124200895,0.8826799,30.21104,0.32914853,10.774376,1.9040012,-4.677464,-3.380668,-2.4922688,-3.8142729,-9.18304,18.704376,0.011380804,-0.004080716,0.016379919,1.8198363,1.463861,0.114374995,0.10793336,0.41190475,0.727714,-49.3105,0.200000003,1,1
21.23875,0.3893143,13.369842,17.725613,29.419252,16.049412,471.13232,249.1934,231.57005,250.44102,0.06635362,0.5248049,0.049537405,0.05605635,0.06847843,0.018941022,1.7524856,1.6894662,1.7350093,1.5213696,0.01513251,3.1927712,5.5045605,1.3997887,10.097811,0.5715256,4.918292,1.4327936,2.9043646,2.2400274,0.12013577,1.234621,1.3709782,0.8304802,-0.7164576,-6.6111007,-9.075872,-4.3580675,14.590035,2.6827357,575.99304,0.3438913,1205.9799,0.18380933,-187.5716,-0.2547019,1618.1061,0.16938998,1011.9531,0.43845126,-188.03154,-0.2389118,2754.283,0.10298733,834.9045,0.44707578,-188.57133,-0.22776572,-20.406113,-0.4091285,32.596775,0.2966947,0.02086007,1.3192732,-0.020655,-0.7832632,0.109885976,0.9508276,26.66097,0.41914284,20.099493,0.5228432,8.003001,2.0740504,1.9620204,6.8065166,-8.016921,17.952257,0.007707614,-0.000842121,0.007531236,0.81892633,0.6404392,0.101428576,0.0640153,1.4314286,1.3909445,-54.645645,-0.100000001,1,1
